signal,horizon,split,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,t_stat_nonoverlap,n_dates,n_nonoverlap
ret_1d,90,test,0.0006866741687388124,-0.40558205631280075,0.10408977268703964,-0.8396346256284571,1026,12
ret_5d,90,test,0.00034719042273867787,-0.4399153043653565,0.05151720359838821,-0.9107112016908454,1026,12
mom_20d_skip_5d,90,test,-0.00272137522528446,-0.3096986016286326,-0.3819228963256542,-0.6411370162631626,1026,12
mom_60d_skip_20d,90,test,0.006496605620715839,0.2789495570270396,0.9049214405908774,0.5774804462824228,1026,12
mom_252d_skip_21d,90,test,0.03969981037392489,0.37387641856387277,6.085551691531169,0.7739977196896055,1026,12
vol_20d,90,test,0.03486025839767835,0.24865324267171682,3.573910820454338,0.5147611169532323,1026,12
idio_vol_60d,90,test,0.02209300362517247,0.14601292193764853,2.6426026090454413,0.30227546593929266,1026,12
beta_60d,90,test,0.026243011541038294,0.31024920189907707,2.5853551724763912,0.6422768671241055,1026,12
amihud_20d,90,test,0.014224737678551506,0.25774666244429745,2.7751711861699455,0.5335862843510472,1026,12
volume_z_20d,90,test,0.002221764457600984,-0.25224559663570134,0.6053527661014315,-0.5221979961824348,1026,12
rsi_14d,90,test,0.0005804942331229336,0.1308261416840473,0.09152428205544776,0.27083584390778714,1026,12
sma_gap_20d,90,test,-0.0013422248469101717,-0.36231512575058644,-0.18514626645036694,-0.7500635697119329,1026,12
